State,Recreational,Medical,Transportation,Cultivation
 Nevada,legal,legal,medical and recreational use,"adults at least 21 years old can grow in home (6 plants per household), or commercially licensed[70]"
,,,,
,,,,
,,,,
 New Hampshire,Decriminalized (up to three-quarters of an ounce),legal,medical use only,medical use only
,,,,
,,,,
 New Jersey,illegal,legal,medical use only,medical use only
,,,,
,,,,
 New Mexico,decriminalized,legal,medical use only,medical use only
,,,,
,,,,
 New York,decriminalized[84],legal,medical use only,misdemeanor
,,,,
,,,,
,,,,
,,,,
 North Carolina,decriminalized (1.5 oz or less),CBD oil,illegal,illegal
,,,,
,,,,
,,,,
,,,,
 North Dakota,decriminalized (0.5 oz or less),legal,medical use only,
,,,,
,,,,
,,,,
,,,,
 Ohio,decriminalized (civil infraction),legal,not clearly stated,medical use only
,,,,
,,,,
 Oklahoma,illegal,legal,not clearly stated,legal with medicinal license
,,,,
,,,,
,,,,
,,,,
,,,,
 Oregon,legal,legal,"up to 1 oz., more for licensed cultivators","(adults 21+) 4 plants per household, or commercially licensed[94]"
,,,,
,,,,
 Pennsylvania,illegal,legal,medical use only,medical use only
,,,,
,,,,
 Rhode Island,decriminalized (civil violation),legal,medical use only,medical use only
,,,,
,,,,
 South Carolina,misdemeanor[105],cannabis oil less than 0.9% THC,CBD oil,illegal
,,,,
,,,,
,,,,
 South Dakota,misdemeanor,illegal,not clearly stated,illegal
,,,,
,,,,
 Tennessee,misdemeanor (less than 1/2 ounce; first or second offense only).,cannabis oil less than 0.9% THC,CBD oil,misdemeanor: 9 plants or less; felony: 10+ plants
,,,,
,,,,
 Texas,"Illegal. ""Cite and Release"" in Houston, Dallas, San Antonio, and Austin residents of Travis County",CBD oil with no more than 0.5% THC and no less than 10% CBD,not clearly stated,illegal
,,,,
,,,,
 Utah,misdemeanor,legal,not clearly stated,illegal
,,,,
,,,,
,,,,
,,,,
 Vermont,"legal (up to one ounce or yield of two mature plants, no commercial sales[115])",legal (medical sales allowed),legal,"two mature plants, four immature, no commercial cultivation"
,,,,
,,,,
,,,,
 Virginia,decriminalized,cannabis oil less than 5% THC,not clearly stated,illegal
,,,,
,,,,
 Washington,legal,legal,legal,legal with restrictions and commercial licensing
,,,,
,,,,
 West Virginia,misdemeanor,legal,not clearly stated,illegal
,,,,
,,,,
 Wisconsin,"misdemeanor on first offense, felony on subsequent offenses[131]",CBD oil,qualified patients may have 12 plants and three oz of leaves or flowers.[130],felony
,,,,
,,,,
 Wyoming,misdemeanor,CBD oil,not clearly stated,illegal
